"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"GALNT16" 15 32 11 27 16 5 28 28 14
"ASB2" 74 42 59 19 21 60 25 24 18
"CEP128" 169 176 248 161 158 166 171 127 368
"ERH" 4761 6386 6034 5123 6040 2857 5072 5533 5603
"HIF1A" 14188 13495 14013 14764 15096 14192 13591 12422 11479
"SUSD6" 2157 2009 2547 1905 2100 1962 1702 987 1184
"SRSF5" 23943 7812 18372 22880 9147 13840 23961 13678 19095
"SLC10A1" 41 19 16 36 19 22 52 50 39
"EIF5" 20642 16154 20920 19354 17761 14963 16978 55139 17756
"SERPINA4" 1 1 0 1 0 0 2 0 0
"SLC8A3" 40 16 28 23 13 16 23 16 8
"DICER1" 4591 3902 6439 4698 4466 3469 5738 2499 6166
"ZFYVE21" 2203 2171 2599 2130 2121 1236 2356 2438 2285
"MTHFD1" 1675 1855 2749 1795 1894 1421 2250 1296 2326
"TCL1A" 7 0 0 4 2 1 1 2 0
"ZC3H14" 2935 2695 5130 2927 2851 2418 3725 3231 4653
"TELO2" 1176 790 2098 1160 910 1086 1570 1528 1468
"PCNX1" 2323 2435 4816 2481 2732 4231 2253 1148 3227
"BDKRB1" 216 258 2703 166 195 58 164 246 74
"GSKIP" 1633 1682 1662 1488 1646 960 1442 2072 1594
"VRK1" 741 973 1052 886 788 632 955 1276 1326
"PSMC1" 2802 3154 3584 2685 3421 2104 2753 4558 3217
"PAPLN" 189 152 767 199 189 497 193 112 206
"RPS6KA5" 1913 1917 2020 2643 2833 1579 1820 1455 2421
"PPP4R3A" 5192 4952 6657 5444 5289 4543 5229 6841 5895
"C14orf93" 180 162 231 256 235 167 217 117 276
"PSMB5" 4793 6157 6282 4555 6039 2719 4833 7110 5314
"YY1" 8425 8745 10914 8785 8679 5894 8028 8970 8170
"ACIN1" 7718 5603 9172 7108 6479 6544 8475 8632 9117
"CCNB1IP1" 2369 3132 2653 2313 2637 1285 2760 2506 2928
"TRIP11" 3802 2204 3647 3287 2750 2277 3683 2581 3458
"APEX1" 3407 3258 5024 3700 3518 2012 4970 2481 4511
"PABPN1" 4835 4432 7592 4712 4904 3894 5178 5087 5928
"EFS" 344 292 762 471 384 345 531 257 426
"ARHGAP5" 4813 6095 7007 5282 6954 4186 5156 5741 5597
"CINP" 1026 1201 1419 1155 1117 740 1278 805 1198
"DHRS2" 691 523 982 1138 341 323 272 882 1104
"SRP54" 4568 3519 5037 4432 3850 3076 4219 3389 4087
"CPNE6" 0 0 0 0 2 3 0 0 3
"CHD8" 2895 2446 4477 3115 2803 3068 3139 3470 3699
"PCK2" 1002 545 1130 1192 647 1145 798 321 689
"PRORP" 1499 1217 1944 1206 1219 850 1489 647 1742
"DCAF11" 2439 2163 3574 3235 3295 1790 2646 1625 2721
"PSMA6" 12857 11576 9714 15817 13990 6971 9924 10799 9556
"NFKBIA" 26822 25261 15686 25913 27033 8562 16534 22153 9281
"EMC9" 397 559 570 575 481 252 511 382 452
"PSME2" 5851 3523 4518 7960 6937 6096 3906 4727 3575
"BRMS1L" 897 810 1293 875 835 492 1150 839 1059
"REC8" 75 71 106 236 197 172 84 105 75
"TM9SF1" 3532 2516 4386 3743 3110 2397 3452 2653 3077
"SEC23A" 4487 3869 4751 4242 3653 3055 3215 1500 3154
"GMPR2" 2546 1954 2952 2863 2294 1529 2962 2059 2618
"PNN" 4082 5733 6310 3861 5753 4170 4683 11142 6586
"RABGGTA" 866 757 1385 912 882 894 974 1011 1049
"NFATC4" 390 397 586 469 465 208 522 469 261
"PLTP" 1609 2526 1932 2256 2819 2898 1489 2448 1454
"PCIF1" 1521 1348 1786 1699 1525 1114 1524 1185 1347
"GSS" 2833 2747 3852 2838 2978 1763 3122 1908 3254
"MMP9" 1194 615 961 368 331 1960 342 880 315
"VSX1" 2 0 8 0 0 1 8 1 8
"TRPC4AP" 8491 6198 10002 8817 7301 6047 8672 6757 9094
"PYGB" 2330 2174 2390 2276 2476 1360 2822 1381 1839
"ABHD12" 4099 4052 4647 4778 4437 2834 4842 2989 3579
"PROCR" 763 754 1569 1333 1006 5151 758 854 598
"GINS1" 684 703 800 877 674 427 1007 734 969
"NINL" 359 363 599 393 491 332 553 246 746
"CD40" 420 546 243 399 740 878 322 464 224
"UQCC1" 1333 1348 2016 1470 1544 912 1654 796 2112
"ZMYND8" 4366 1368 3360 3808 2081 2963 3071 1157 3211
"SGK2" 168 277 274 119 310 72 193 158 473
"IFT52" 626 986 746 618 865 307 860 694 848
"MYBL2" 602 991 928 703 887 567 770 1515 949
"R3HDML" 0 0 0 2 3 1 0 2 0
"HNF4A" 4 6 3 3 4 4 2 2 8
"NDRG3" 755 823 1163 758 785 424 1010 453 986
"SLA2" 831 911 1181 709 889 946 710 1553 813
"RAB5IF" 3295 3439 3782 2800 3396 2614 2723 5880 3005
"NFATC2" 2188 2807 921 2091 2792 879 1805 581 1149
"RIMS4" 16 6 96 20 21 14 11 4 6
"PABPC1L" 4597 3769 6847 4868 4254 3197 5565 3746 6370
"STK4" 1676 1234 2574 1610 1550 1896 1662 1616 1883
"SALL4" 2 2 6 8 3 9 0 6 5
"ADNP" 5282 4466 8316 6187 5475 4651 5732 5101 6920
"PFDN4" 1944 2241 1580 2006 2092 723 2210 2296 2384
"DOK5" 43 47 42 24 26 27 17 22 4
"CSTF1" 843 875 1516 1053 1156 721 1262 1389 1378
"BMP7" 4999 4172 6790 5502 5552 2816 7052 4337 5418
"RAE1" 1802 1818 2281 1985 1869 1223 2030 3791 1956
"TPD52L2" 7804 7069 9511 7464 6839 5757 7821 9624 7598
"DNAJC5" 5737 4196 7065 4821 4589 3996 4605 4326 4523
"NELFCD" 3625 3519 5616 3953 3504 2382 3940 3249 4648
"CTSZ" 3620 4529 5878 4505 5320 9431 3243 5389 3816
"PRPF6" 3839 3166 4882 4199 3456 3134 4108 2770 3687
"TUBB1" 56 107 35 55 148 17 53 132 49
"PRELID3B" 3782 4088 4631 3516 4039 2542 3400 5470 3758
"HRH3" 0 0 0 0 0 1 0 0 1
"MTG2" 1617 1255 2315 1898 1612 1398 1639 1560 1882
"PSMA7" 6001 8421 8233 6017 7703 4362 5754 12378 6738
"SLCO4A1" 1291 547 962 1098 535 813 909 201 349
"NTSR1" 118 1 6 44 5 4 29 0 5
"MRGBP" 1101 1128 1369 1289 1219 797 1331 1049 1222
"TCFL5" 478 517 556 515 437 207 650 344 445
"DIDO1" 3556 2275 4309 3525 3013 2525 3904 3232 4534
"GID8" 5454 5525 5913 5699 5782 2634 5566 4080 5020
"SLC17A9" 118 113 170 79 97 50 119 83 79
"BIRC7" 810 276 475 955 254 729 689 100 327
"NKAIN4" 345 141 342 249 132 609 288 149 273
"ARFGAP1" 4983 3933 6082 4623 4351 3529 4455 3425 4601
"AVP" 0 0 0 1 0 0 0 1 1
"COL20A1" 1 3 2 5 2 2 4 0 1
"CHRNA4" 5 0 4 0 1 1 1 2 0
"EEF1A2" 148 15 38 104 12 38 76 13 22
"PTK6" 6 16 5 10 9 11 9 12 3
"GMEB2" 1104 882 1384 1187 969 1029 1067 1553 1006
"C20orf27" 81 139 332 120 127 142 142 113 205
"SPEF1" 0 0 1 1 0 0 1 2 1
"CDC25B" 1353 1187 1215 1571 1295 753 1486 1001 984
"ISM1" 222 464 102 169 347 64 230 325 196
"RNF24" 1635 833 2619 1708 1065 2231 1185 479 1035
"ARFRP1" 997 1012 1607 976 1088 1035 1125 1046 1071
"NDUFAF5" 441 723 542 457 731 341 501 725 626
"SEL1L2" 7 9 3 7 5 15 2 9 7
"TRIB3" 2667 2014 4119 2365 2093 2068 2532 1142 2399
"RASSF2" 624 767 1893 594 623 475 849 400 774
"CSNK2A1" 5476 6579 6833 5435 7372 3838 5183 6076 5674
"SLC52A3" 2748 2622 3731 2540 4250 1501 1681 1002 2702
"ANGPT4" 16 2 17 27 11 23 17 8 10
"RSPO4" 61 44 81 97 78 30 110 25 125
"CDS2" 1785 1943 3380 1970 2115 1828 2217 960 2373
"PROKR2" 0 0 0 0 2 0 0 0 0
"HM13" 4723 3878 6450 4733 4029 5217 4596 3713 4419
"SNPH" 45 80 81 47 49 20 63 34 43
"MYLK2" 4 5 2 3 0 4 1 1 8
"SIRPB1" 73 44 94 64 91 71 43 68 49
"SEC23B" 2994 2679 3745 2713 3033 1976 2915 2033 2907
"FERMT1" 1349 1013 3672 2324 1978 2229 2895 526 3000
"HAO1" 1 4 5 0 1 1 0 2 0
"PDYN" 1 0 1 2 0 1 1 2 0
"CCM2L" 35 243 25 33 160 10 22 205 77
"PLCB4" 215 415 159 284 373 58 313 294 140
"MYL9" 767 1669 2216 490 890 1062 717 1558 682
"HCK" 977 368 353 596 496 631 301 222 284
"TM9SF4" 7356 5488 7600 7699 6546 4307 7736 3694 6711
"TLDC2" 355 455 625 3310 3334 5514 641 480 404
"CRNKL1" 1358 1245 1573 1476 1467 1126 1610 1951 1386
"POFUT1" 2479 2341 4024 2451 2575 2165 3125 1666 3169
"SAMHD1" 627 756 1094 5831 5976 9936 1131 889 763
"PAK5" 7 19 4 4 2 11 6 7 3
"KIF3B" 1715 1485 2980 1661 1778 1455 1985 1252 1876
"MROH8" 1331 1135 1197 1499 1088 802 1350 837 854
"NOP56" 2121 2211 3990 2156 2349 2885 2856 8728 3525
"MANBAL" 1905 2117 2392 1934 2154 1457 2023 2710 2102
"IDH3B" 2415 3177 3744 2603 3258 1766 2725 2720 3286
"MAPRE1" 8756 9240 11218 7796 9214 7178 7631 13834 8631
"JAG1" 2960 4018 2529 2740 4525 1576 3593 4965 2868
"CDK5RAP1" 869 1058 1199 1015 1110 764 1073 1038 1307
"SNTA1" 153 174 202 123 164 111 239 160 168
"OXT" 0 4 5 0 2 3 0 1 2
"TTI1" 2428 1712 2396 2695 2036 1314 3353 2245 2730
"E2F1" 383 489 588 451 368 314 510 1692 534
"RPRD1B" 2272 1916 2787 2071 1966 1933 2551 3284 2630
"PXMP4" 191 188 388 198 195 117 312 81 301
"CHMP4B" 10360 9851 11120 10131 10183 6808 9177 11722 7162
"BPI" 5 5 6 2 8 7 1 6 4
"CST9L" 0 0 0 0 0 0 0 0 0
"SLC32A1" 3 2 1 4 1 0 0 0 1
"CST3" 8743 6919 10359 10163 7460 6184 7348 6488 4362
"ASIP" 584 313 242 536 342 123 584 479 296
"CST4" 0 0 1 0 0 1 0 0 1
"ACTR5" 181 177 270 190 164 171 238 158 316
"WFDC2" 18 3 22 4 2 31 2 0 3
"AHCY" 7496 8957 7909 6735 7635 3735 7461 6326 7511
"PPP1R16B" 155 193 376 149 159 246 200 123 145
"SPINT3" 0 0 0 0 0 0 0 0 0
"FAM83D" 717 583 505 914 586 279 687 1020 696
"EPPIN" 2 0 0 1 0 1 0 2 0
"DHX35" 444 389 710 440 417 414 524 430 770
"DNTTIP1" 1004 1017 1610 972 1153 780 1175 1152 1157
"MAP1LC3A" 615 648 705 610 691 352 530 1094 394
"SYNDIG1" 3 14 14 5 4 13 3 1 8
"PIGU" 1548 1356 1855 1597 1580 977 1777 657 1934
"TNNC2" 17 25 31 14 24 6 12 35 24
"ACOT8" 541 599 904 596 695 354 696 490 643
"APMAP" 17054 12294 16234 14978 15111 6205 15066 10994 13155
"CELF4" 12 21 16 20 14 14 9 12 22
"ZNF516" 282 252 1287 272 277 668 227 90 167
"CDH20" 21 35 11 12 19 4 28 22 16
"ADNP2" 1813 1216 2038 2075 1790 1387 1667 3464 1705
"RBFA" 663 583 735 664 688 496 880 474 921
"USP14" 6219 6258 7799 5960 6357 4467 5755 11278 6814
"VAPA" 8459 8624 9950 8751 8347 5901 9281 10621 7926
"METTL4" 569 601 746 614 564 548 571 616 742
"LPIN2" 5554 3273 5522 5189 4284 4501 4389 4674 4130
"SMCHD1" 4925 3930 5902 5338 4965 5697 4799 4308 5896
"MYOM1" 201 157 345 174 194 212 167 323 255
"MYL12A" 14727 15336 14216 15445 17664 13930 13185 25515 11703
"CEP76" 352 490 584 344 465 308 385 880 571
"ST8SIA5" 13 7 2 6 2 3 1 2 2
"CEP192" 1128 825 1751 1060 1063 1032 1361 713 2033
"RNMT" 5946 4844 5259 6016 5366 3181 5647 6952 5176
"SMAD7" 2466 2044 3024 2265 2504 2008 2081 2179 1985
"LIPG" 9646 5754 4872 8806 6999 5277 8646 7155 5504
"LAMA1" 2217 1172 975 1603 1449 843 3009 396 1148
"RNF125" 29 237 85 40 195 57 58 157 92
"ANKRD12" 2403 1873 2296 2237 2291 2108 2373 1220 2151
"NOL4" 22 23 46 39 24 16 36 9 26
"POLI" 2592 1328 2832 2668 1833 1473 2905 1295 3388
"MIB1" 5735 4072 5882 5204 4675 2894 5359 3206 4674
"RBBP8" 1507 1168 1680 1402 1218 1195 1589 2168 1521
"RIOK3" 13678 12527 12588 15417 12175 8901 12181 15208 10338
"CSTF2" 418 474 848 486 538 400 606 480 853
"H2BFM" 0 0 0 1 1 0 0 0 0
"MXRA5" 47 318 44 31 515 70 34 215 77
"VSIG1" 10 49 59 5 12 19 4 4 8
"PSMD10" 2400 3239 2918 2365 2962 1347 2409 2490 2458
"ATG4A" 454 501 883 337 418 439 393 236 435
"STS" 45789 28014 36046 27360 19642 14407 30639 17648 31646
"TBL1X" 22733 14167 23378 20927 20689 11949 21707 5959 19287
"GPR143" 1109 716 1256 1060 945 833 1086 737 1541
"PGRMC1" 2414 3051 2893 3190 2854 2806 2825 8027 2376
"POLA1" 978 951 1286 997 929 674 1200 1009 1471
"MID1" 1372 1070 1269 1263 1324 1235 1351 1696 1232
"NKAP" 1194 1433 1741 1319 1606 800 1381 1457 1472
"RHOXF1" 0 3 1 1 1 4 5 1 3
"NXT2" 1953 1259 1183 1476 1416 827 1258 1677 1340
"GUCY2F" 7 11 1 3 2 9 4 4 10
"ATP1B4" 1 0 0 0 6 3 1 2 0
"ALG13" 1212 990 1249 987 1159 841 1179 1379 1732
"PRPS2" 105 162 334 116 165 134 96 122 59
"TLR8" 61 36 35 146 107 170 40 32 50
"MOSPD1" 891 978 1001 870 935 716 844 1496 911
"AMMECR1" 2161 1279 2011 1860 2320 1113 1832 1008 1915
"CHRDL1" 7 6 12023 8 0 4993 0 3 5
"WDR13" 1422 1445 1717 1345 1473 814 1586 1307 1315
"SUV39H1" 432 441 549 530 388 474 657 501 565
"PAGE4" 77246 109696 85257 81976 106040 31932 93633 114139 93897
"SRPX" 701 1211 1016 634 1052 542 499 1049 435
"GLRA2" 44 35 47 39 33 34 39 44 117
"XIAP" 3400 2208 3231 3123 3127 3255 2699 2748 2452
"STAG2" 8565 7954 7762 9053 9522 5389 7720 7895 7328
"ATP11C" 1270 713 1165 1084 864 851 922 223 793
"MCF2" 1 3 2 6 2 6 2 0 1
"F9" 0 1 0 0 0 1 0 0 0
"ABCD1" 736 539 1523 1298 886 1968 881 477 992
"CCDC22" 552 441 628 590 576 383 557 592 528
"CACNA1F" 12 7 18 11 11 17 8 5 16
"SYP" 14 25 13 23 8 12 15 19 15
"PLP2" 402 725 549 315 544 452 364 555 480
"BMX" 786 860 1048 1037 1045 439 933 677 1028
"LUZP4" 3 1 66 3 2 18 1 1 0
"PLS3" 1893 2880 2844 2131 2434 2974 2842 1851 1778
"NAA10" 1273 2069 2214 1347 1837 1146 1404 1919 1881
"RENBP" 84 104 156 112 136 340 71 132 81
"ELF4" 6111 4938 7997 7438 5955 6762 6197 5937 5692
"SMARCA1" 6189 9158 11963 6317 8766 5235 6512 5912 11342
"MTMR8" 23 48 45 47 34 36 38 14 44
"ASB9" 51 143 39 44 129 8 52 98 89
"ZC3H12B" 31 34 65 48 27 41 43 31 58
"RBBP7" 12468 13117 17912 14429 13761 7708 13727 12880 15480
"PPP1R2C" 0 0 0 0 0 1 1 0 1
"KCND1" 38 28 36 52 48 27 37 21 58
"OPN1LW" 0 0 0 0 0 0 1 0 0
"SLC25A14" 238 227 281 246 278 158 307 253 351
"FMR1" 10768 7974 10031 12354 10362 8551 11446 7329 12728
"PIM2" 425 515 542 408 452 296 302 752 283
"SCML2" 205 345 440 242 282 151 248 427 415
"SLC35A2" 2694 3016 3083 2505 3199 1596 2082 3056 2104
"PQBP1" 1250 1350 1161 1328 1305 629 1277 1243 1206
"RS1" 19 7 10 24 27 7 13 20 12
"PCSK1N" 5 7 120 7 12 543 6 46 4
"EMD" 2020 2231 2492 2001 1974 1367 2106 2946 1868
"TAZ" 326 416 527 317 389 316 426 222 471
"RAB40AL" 0 0 2 1 0 0 0 2 2
"PGK1" 50960 32443 38333 47444 34997 20593 50586 23785 34156
"GATA1" 20 12 0 12 22 4 9 14 12
"MAGT1" 7775 7150 6331 7535 7643 4276 6736 4289 5877
"SMS" 19858 28721 22265 19700 20732 11704 19310 31756 18195
"PHEX" 47 41 89 34 29 62 44 24 73
"UBL4A" 1020 1133 2002 1149 1017 788 1458 964 1522
"CD99L2" 7034 4629 6420 6686 5660 3900 7000 3836 5888
"EEA1" 4940 4129 6246 4973 4541 4167 4747 2999 6736
"GPR50" 1 0 0 2 0 0 0 5 0
"RP2" 8318 8626 9400 8258 9102 6006 7146 16694 7713
"JADE3" 5178 4041 5504 6203 5085 3977 5128 4639 5287
"CDK16" 3239 4335 4980 3496 4309 2759 3441 4410 3505
"USP11" 912 886 1095 1021 1067 866 967 874 821
"PCYT1B" 8 25 2 11 20 3 25 15 20
"BRS3" 1 0 1 0 0 1 2 4 1
"HTATSF1" 6559 5174 8036 6167 5842 4043 5702 6467 6995
"VGLL1" 19831 15406 24295 19572 18110 13173 17732 15539 19566
"CD40LG" 2 2 4 0 2 0 1 7 2
"TIMP1" 6625 4589 10517 6090 5722 6202 5135 2695 2460
"KLHL4" 9 19 8 5 7 4 7 4 3
"GABRE" 7308 1984 5446 5025 4097 3900 6177 3748 8666
"PCDH11X" 422 263 332 261 260 167 249 541 407
"FGD1" 366 416 598 450 499 265 467 397 540
"PIN4" 48635 70705 71327 46882 62607 32191 57795 68751 69451
"PORCN" 64 38 138 82 34 268 51 54 30
"ITIH6" 15 8 25 19 12 5 31 1 25
"MAGED2" 14303 17079 17779 16637 19008 8515 14973 13456 16512
"RBM3" 12020 15867 13925 11798 13703 7378 14856 13977 13446
"KLF8" 1233 467 1077 1350 481 822 1444 291 1040
"SRPX2" 499 589 688 445 527 459 564 634 310
"SYTL4" 370 410 874 282 380 413 353 494 212
"ZDHHC15" 7 11 21 6 7 8 4 3 8
"CENPI" 100 128 174 118 139 63 166 95 197
"DRP2" 10 12 30 14 13 22 14 1 23
"TAF7L" 52 53 91 69 50 35 75 53 93
"PBDC1" 1391 1111 1739 1300 1259 1006 1433 2332 1674
"GLA" 2292 2810 3154 2381 3243 1912 1914 6105 2975
"ARMCX3" 2808 3524 6909 884 3496 3590 975 1152 5537
"BEX4" 3569 3722 5182 3942 4407 2305 4116 2925 4446
"RUBCNL" 207 94 703 122 97 213 116 61 80
"NALCN" 147 128 86 110 122 85 131 103 158
"FGF14" 773 684 233 660 658 90 452 647 272
"HTR2A" 0 2 12 4 0 7 2 0 1
"NDFIP2" 7985 9907 9500 8906 9376 6960 7664 13112 9429
"TNFSF13B" 202 368 153 1120 1328 2276 342 405 284
"FNDC3A" 6801 5865 6844 7365 7070 7023 6258 2914 5655
"MLNR" 0 2 1 0 0 6 1 11 0
"CDADC1" 189 219 298 244 283 186 233 195 283
"CAB39L" 2279 3775 4580 3075 3630 1533 2905 881 3917
"KLF5" 8169 5482 10237 7945 6476 8480 8141 11295 7399
"STK24" 11103 13906 13290 13114 13842 8737 13046 13040 11816
"ACP5" 720 958 1073 1076 1005 1224 1078 1176 960
"DNAJC3" 4737 2917 5016 3768 2687 2876 3649 3013 3267
"UGGT2" 1894 2063 2559 1854 2364 1424 1982 1983 2772
"ARHGEF7" 3596 3153 4651 3459 3293 2626 4011 1771 4668
"FGF9" 5 1 5 2 6 3 4 14 6
"SGCG" 12 21 4 5 6 12 16 5 8
"PARP4" 2267 1367 3162 3668 2701 5278 2798 894 2753
"SUPT20H" 2323 1974 2870 2744 2609 2031 2460 2043 2955
"MRPS31" 934 894 1208 1087 1032 686 1287 745 1338
"SLC25A15" 176 192 277 173 219 163 282 150 289
"KPNA3" 1334 1426 1889 1151 1147 1330 1203 1418 1439
"FLT1" 140801 73996 77390 144141 86205 99527 137370 53963 68704
"RGCC" 1571 3008 6330 1594 2460 2011 2792 1867 1586
"VWA8" 955 1145 1865 1014 1219 699 1550 870 1994
"DGKH" 1638 1172 1388 1362 1271 874 1558 920 1179
"KATNAL1" 102 114 383 70 87 210 86 117 113
"INTS6" 2878 2144 3342 2813 2874 2230 2692 3380 3007
"ACOD1" 2 0 0 34 17 73 1 4 1
"DHRS12" 851 567 949 772 748 524 873 458 1130
"MEDAG" 577 325 9589 461 442 1116 390 301 226
"TSC22D1" 26926 23444 19571 27814 29587 10863 19659 19744 18430
"CLN5" 8620 6398 8190 6869 6973 4967 6358 6091 6697
"OLFM4" 16 15 4 0 15 5 9 4 18
"MSLN" 10 14 21 3 6 27 2 19 2
"MGRN1" 2355 1989 3730 2527 2335 2330 2320 2037 2496
"ZNF629" 179 183 580 236 218 342 245 140 312
"TRADD" 1204 753 1085 1587 1319 1267 1045 487 751
"HSF4" 266 143 245 290 156 204 474 183 315
"CORO1A" 260 156 347 332 152 574 141 203 111
"MAPK3" 3163 4128 6018 3891 3999 3222 4179 2874 3947
"GDPD3" 162 121 259 217 142 336 183 118 178
"ELMO3" 1852 1171 2242 2339 1630 1477 2168 1133 1842
"MT4" 2 0 0 0 0 0 1 1 0
"PHKB" 5744 4619 7925 4826 5040 3199 6338 3267 6998
"LYRM1" 1194 1303 1253 915 1025 525 1046 1069 1112
"NUTF2" 4143 5236 5839 3960 4571 2806 4161 4376 4581
"NUP93" 1067 1420 1910 1137 1448 1199 1193 1004 1806
"CENPT" 2302 2202 3101 2331 2275 1621 2710 2519 2614
"TSNAXIP1" 971 924 1391 910 1009 720 1202 1209 1088
"NFAT5" 8535 7189 12118 7453 8509 9270 7571 8107 12123
"LONP2" 15099 15703 16492 17637 21817 7906 10985 9227 12812
"N4BP1" 4144 3193 4552 6153 5774 6728 3480 3429 3262
"CBLN1" 2 0 4 0 0 2 1 0 0
"ARL2BP" 1409 1545 1926 1287 1323 984 1576 1065 1496
"PLLP" 1385 1571 1900 1282 1319 993 1552 1074 1470
"ZNF423" 81 194 127 106 161 63 116 156 119
"CCL22" 84 7 4 30 14 22 9 17 14
"DHODH" 210 250 399 222 291 197 358 216 446
"CCL17" 152 1 4 58 11 6 12 1 5
"CTCF" 2006 2262 2943 1861 2059 1802 2075 3124 2472
"ACD" 427 398 553 499 425 326 574 394 497
"POLR2C" 3528 3711 3936 3739 3830 1992 3598 5780 3627
"PARD6A" 43 77 84 58 57 17 69 46 79
"ZNF821" 249 255 299 307 288 212 315 267 326
"MMP15" 4877 4158 8058 4426 4479 5531 5100 4173 4089
"USB1" 1528 1212 2116 1325 1489 1254 1289 962 1501
"CYB5B" 5436 5698 7275 5740 5858 3396 6934 5505 5987
"CCDC113" 29 54 63 28 71 66 41 48 54
"PRSS54" 12 32 37 17 38 41 17 24 30
"NME3" 526 765 708 564 659 368 710 567 661
"NDRG4" 44 48 62 26 30 52 40 50 34
"PSMD7" 9060 10373 12083 8410 10675 6646 8523 16303 10521
"SETD6" 1641 1513 2425 1748 1484 1338 1709 1851 1880
"SLC38A7" 757 390 816 750 510 609 756 844 638
"VAC14" 1650 1606 2494 1800 1704 1620 1888 1689 2028
"HAS3" 1940 1299 2405 2234 1866 2062 1932 3659 1577
"TANGO6" 229 294 538 243 328 392 336 206 464
"COG4" 2906 2537 3756 3203 2932 1764 3428 1962 3542
"SMPD3" 39 40 46 59 63 46 52 29 58
"SLC7A6OS" 5449 6023 10352 5323 6169 4134 6508 4784 8779
"SLC7A6" 5627 6283 10942 5516 6417 4270 6942 4888 9533
"PLA2G15" 1901 1540 2215 2111 1600 1042 2363 1018 1504
"ESRP2" 2692 2230 5063 2833 2602 2180 3398 2016 4426
"FA2H" 22 21 50 25 23 115 42 12 34
"WDR59" 3291 2428 3949 3451 2759 2102 3610 1573 3698
"MON1B" 1840 1375 2525 1624 1618 1468 1799 1717 1755
"CMC2" 1800 2516 1860 1874 2134 1273 1760 3052 1978
"AXIN1" 1110 1113 1630 1169 1106 1216 1238 1675 1021
"HCFC1R1" 1065 1428 1627 1295 1212 684 1475 1421 1381
"NPRL3" 1644 1826 2550 1979 1780 1208 1955 979 2126
"MLYCD" 537 502 915 654 626 449 807 366 844
"MPG" 1539 1783 1991 1817 1602 881 1716 1064 1639
"NECAB2" 4 0 4 5 6 3 8 1 5
"HSDL1" 1083 1008 1252 954 1156 756 1049 780 1092
"TAF1C" 694 667 1399 717 741 869 971 775 1140
"NAGPA" 486 447 580 543 563 298 670 283 419
"WFDC1" 480 1999 151 438 1456 57 751 1619 679
"SEC14L5" 28 66 79 35 62 8 81 82 84
"COTL1" 12964 15289 9905 11938 12096 8960 11369 16291 7370
"USP10" 5646 5532 8297 6392 6537 4515 6337 5871 7480
"CRISPLD2" 5311 5549 5217 5749 5606 5156 6016 3217 5252
"TSC2" 1402 1150 2250 1409 1429 1162 1759 1027 2003
"ZNF500" 322 304 468 408 407 298 484 308 428
"NME4" 1109 1564 1678 1083 1435 464 1337 1095 1239
"ABCC1" 2055 1172 1683 1880 1117 1095 1711 391 1103
"NOMO3" 11 480 758 11 646 457 11 495 606
"LMF1" 230 227 535 283 325 388 294 213 616
"FOXF1" 511 862 273 645 976 137 707 455 364
"CIAO3" 686 643 1147 869 687 585 791 415 920
"MTHFSD" 632 358 953 629 487 624 995 532 1142
"CLCN7" 2637 1375 3045 2526 1691 2048 2276 1906 2166
"HAGHL" 605 584 1007 750 588 567 687 380 766
"FAM173A" 235 317 410 259 342 243 281 239 283
"SLC7A5" 28034 13102 21553 29253 14106 17287 23575 14726 14762
"METRN" 71 113 285 123 96 184 90 117 77
"FBXO31" 1088 1192 1540 1081 1677 1010 1134 1037 1233
"STUB1" 2621 2522 4099 2670 2715 2098 2757 3098 2743
"RHBDL1" 29 31 35 35 32 26 39 14 37
"NUBP1" 913 846 1100 928 810 616 975 877 982
"UBE2I" 6597 5004 6648 6083 5253 3395 5920 6380 5688
"ZP2" 1 14 3 0 14 1 0 20 4
"MEFV" 29 7 14 104 154 247 18 8 10
"CRYM" 11 17 36 9 17 22 3 17 12
"EEF2K" 1896 1485 1796 2514 1468 724 3101 453 2221
"CAPN15" 1139 1649 2711 1177 1487 1424 1373 1912 1607
"PIEZO1" 6953 4243 6854 6352 4099 5856 6152 2440 4820
"GSPT1" 5826 7436 8693 4607 6652 5206 5303 10801 6681
"ZNF174" 168 209 357 232 249 146 257 149 245
"CLUAP1" 395 534 729 513 529 359 597 328 600
"UBFD1" 3628 3606 4531 4208 4353 3111 3948 4603 3461
"PRSS33" 0 0 0 0 0 0 0 0 0
"EARS2" 1807 2095 2561 1937 2156 1427 2194 2100 2416
"ELOB" 4008 5667 5629 4186 5252 2287 4377 5131 4280
"GGA2" 2935 3128 4861 3415 2844 2782 4167 2402 4266
"AQP8" 8 5 5 4 6 3 7 8 11
"CPPED1" 4472 3744 6987 4670 4258 2830 4133 1712 5488
"USP31" 2859 2649 2926 3155 3691 1672 3491 1484 2433
"HMOX2" 803 1043 1487 764 961 870 1138 608 1161
"DNAJA3" 3091 3628 4555 3572 3726 2712 3424 2754 4236
"CORO7-PAM16" 3002 3729 5790 2963 3602 4365 3666 5941 2726
"BFAR" 3491 3579 4789 3854 3797 2899 3864 3348 4036
"SALL1" 46 109 656 82 110 225 76 65 56
"TOX3" 9 14 52 6 6 8 4 3 1
"RBL2" 1902 1487 2615 1840 1911 1713 1849 676 2458
"QPRT" 8689 7936 11714 12806 9568 6685 11682 4148 8409
